"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"FR",2019-03-31,2019,3,31,1,46011.2083333333,-7363.74360730594,0,13.4397444658313
"FR",2019-04-01,2019,4,1,2,52213.4166666667,-1161.53527397261,0,13.7305468753594
"FR",2019-04-02,2019,4,2,3,54270.5416666667,895.589726027392,0,11.9850193821707
"FR",2019-04-03,2019,4,3,4,59745.4583333333,6370.50639269406,0,7.94605144112165
"FR",2019-04-04,2019,4,4,5,61093.9583333333,7719.00639269406,0,7.82595301306302
"FR",2019-04-05,2019,4,5,6,59547.6666666667,6172.71472602739,0,9.42986372196499
"FR",2019-04-06,2019,4,6,7,53752.2083333333,377.256392694064,0,10.8439357034067
"FR",2019-04-07,2019,4,7,1,50771.5833333333,-2603.36860730594,0,11.15268182868
"FR",2019-04-08,2019,4,8,2,56953.75,3578.79805936073,0,11.680173539807
"FR",2019-04-09,2019,4,9,3,56790.75,3415.79805936073,0,11.5720890190187
"FR",2019-04-10,2019,4,10,4,56994.75,3619.79805936073,0,11.5202826112985
"FR",2019-04-11,2019,4,11,5,56985.8333333333,3610.88139269406,0,10.5675332088068
"FR",2019-04-12,2019,4,12,6,57088.625,3713.67305936073,0,9.64702143475315
"FR",2019-04-13,2019,4,13,7,53014.8333333333,-360.118607305936,0,8.8586213687962
"FR",2019-04-14,2019,4,14,1,52278.875,-1096.07694063927,0,7.95715170808559
"FR",2019-04-15,2019,4,15,2,57253.0833333333,3878.13139269406,0,10.9677738986953
"FR",2019-04-16,2019,4,16,3,56352.5416666667,2977.58972602739,0,12.4365482466282
"FR",2019-04-17,2019,4,17,4,53714.875,339.923059360728,0,13.533148118645
"FR",2019-04-18,2019,4,18,5,51155.7083333333,-2219.24360730594,0,16.6620313931091
"FR",2019-04-19,2019,4,19,6,48737.9583333333,-4636.99360730594,0,18.2491608539668
"FR",2019-04-20,2019,4,20,7,43246.875,-10128.0769406393,0,18.7552061314871
"FR",2019-04-21,2019,4,21,1,40848.2916666667,-12526.6602739726,0,17.6890404003024
"FR",2019-04-22,2019,4,22,2,41524.8333333333,-11850.1186073059,1,18.200401289199
"FR",2019-04-23,2019,4,23,3,48183.7916666667,-5191.16027397261,0,16.5282813964195
"FR",2019-04-24,2019,4,24,4,49379.375,-3995.57694063927,0,14.3770327235382
"FR",2019-04-25,2019,4,25,5,50975.4166666667,-2399.53527397261,0,12.8220428477623
"FR",2019-04-26,2019,4,26,6,50920.7083333333,-2454.24360730594,0,12.3985026435048
"FR",2019-04-27,2019,4,27,7,46272.375,-7102.57694063927,0,11.8567461537078
"FR",2019-04-28,2019,4,28,1,46255.8333333333,-7119.11860730594,0,10.8851551152107
"FR",2019-04-29,2019,4,29,2,52270.5833333333,-1104.36860730594,0,12.4284296741027
"FR",2019-04-30,2019,4,30,3,51070.3333333333,-2304.61860730594,0,12.9944517551838
"FR",2019-05-01,2019,5,1,4,42731.5,-10643.4519406393,1,13.7828845905366
"FR",2019-05-02,2019,5,2,5,50212.9166666667,-3162.03527397261,0,13.2929797388679
"FR",2019-05-03,2019,5,3,6,51198,-2176.95194063927,0,12.4459766750479
"FR",2019-05-04,2019,5,4,7,48706.5,-4668.45194063927,0,9.90894762012088
"FR",2019-05-05,2019,5,5,1,48797.125,-4577.82694063927,0,8.64647479495432
"FR",2019-05-06,2019,5,6,2,55086.5833333333,1711.63139269406,0,10.4090483536062
