"month","wday","hour","modelfit"
5,"Mon",16,1608.79924242422
5,"Mon",17,1397.48106060605
5,"Mon",18,1279.11742424249
5,"Mon",19,1560.89015151515
5,"Mon",20,1924.3446969696
5,"Mon",21,1626.89015151515
5,"Mon",22,175.390151515132
5,"Mon",23,-1286.1553030303
5,"Mon",24,-2350.15530303031
5,"Tue",1,-2945.23484848486
5,"Tue",2,-3814.24431818177
5,"Tue",3,-3805.24431818191
5,"Tue",4,-3911.28977272723
5,"Tue",5,-3726.2443181818
5,"Tue",6,-1407.24431818182
5,"Tue",7,641.30113636354
5,"Tue",8,1660.30113636359
5,"Tue",9,2022.25568181841
5,"Tue",10,2013.48295454549
5,"Tue",11,2304.61931818192
5,"Tue",12,2407.71022727288
5,"Tue",13,2303.48295454541
5,"Tue",14,1904.43750000012
5,"Tue",15,1712.66477272724
5,"Tue",16,1395.07386363635
5,"Tue",17,1130.98295454545
5,"Tue",18,998.619318181887
5,"Tue",19,1242.80113636364
5,"Tue",20,1599.61931818172
5,"Tue",21,1229.75568181818
5,"Tue",22,-209.244318181842
5,"Tue",23,-1635.10795454545
5,"Tue",24,-2728.10795454545
5,"Wed",1,-3352.21376811596
5,"Wed",2,-3588.47282608683
5,"Wed",3,-3602.16847826072
5,"Wed",4,-3736.42934782609
5,"Wed",5,-3598.34239130423
5,"Wed",6,-1374.60326086973
5,"Wed",7,653.396739130401
5,"Wed",8,1652.13586956523
5,"Wed",9,1997.3967391302
5,"Wed",10,1985.44021739124
5,"Wed",11,2259.48369565221
5,"Wed",12,2304.70108695654
5,"Wed",13,2173.26630434805
5,"Wed",14,1805.17934782612
5,"Wed",15,1625.48369565226
5,"Wed",16,1357.30978260867
5,"Wed",17,1085.87499999992
5,"Wed",18,951.005434782605
5,"Wed",19,1191.48369565213
5,"Wed",20,1538.35326086954
5,"Wed",21,1203.65760869567
5,"Wed",22,-219.820652173873
5,"Wed",23,-1620.21195652174
5,"Wed",24,-2722.8206521739
5,"Thu",1,-3310.71212121213
5,"Thu",2,-3573.88068181816
5,"Thu",3,-3569.01704545463
5,"Thu",4,-3732.47159090903
5,"Thu",5,-3577.97159090907
5,"Thu",6,-1378.42613636364
5,"Thu",7,566.392045454443
5,"Thu",8,1593.75568181814
5,"Thu",9,1954.52840909113
5,"Thu",10,1935.61931818186
5,"Thu",11,2208.80113636374
5,"Thu",12,2265.84659090923
5,"Thu",13,2153.98295454541
5,"Thu",14,1771.98295454557
5,"Thu",15,1597.43749999997
5,"Thu",16,1314.16477272725
5,"Thu",17,1050.21022727272
5,"Thu",18,947.346590909157
5,"Thu",19,1201.25568181818
5,"Thu",20,1532.98295454536
5,"Thu",21,1277.89204545455
5,"Thu",22,-120.335227272756
5,"Thu",23,-1532.10795454545
5,"Thu",24,-2644.51704545454
5,"Fri",1,-3305.00000000002
5,"Fri",2,-3407.22159090904
5,"Fri",3,-3414.08522727281
5,"Fri",4,-3520.72159090903
5,"Fri",5,-3411.53977272726
5,"Fri",6,-1274.03977272727
5,"Fri",7,669.096590909001
5,"Fri",8,1676.27840909087
5,"Fri",9,2027.59659090931
5,"Fri",10,2019.00568181821
5,"Fri",11,2269.73295454555
5,"Fri",12,2277.91477272742
